language,date,condition,speaker,duration,start,end,IOI
Japanese,20250515,conv,1,0.311767625,0.704995924,1.016763549,3.207517137
Japanese,20250515,conv,1,0.078122563,1.016763549,1.094886112,12.80039925
Japanese,20250515,conv,1,0.093577097,1.094886112,1.188463208,10.68637559
Japanese,20250515,conv,1,0.064581376,1.188463208,1.253044585,15.48434013
Japanese,20250515,conv,1,0.077761249,1.253044585,1.330805834,12.8598757
Japanese,20250515,conv,1,0.146296588,1.330805834,1.477102422,6.835429428
Japanese,20250515,conv,1,0.075125275,1.477102422,1.552227696,13.31109941
Japanese,20250515,conv,1,0.133116715,1.552227696,1.685344411,7.512204619
Japanese,20250515,conv,1,0.341258737,1.685344411,2.026603148,2.930327906
Japanese,20250515,conv,1,0.052389994,2.714976589,2.767366583,19.08761425
Japanese,20250515,conv,1,0.054366975,2.767366583,2.821733559,18.39351919
Japanese,20250515,conv,1,0.113346906,2.821733559,2.935080464,8.822472867
Japanese,20250515,conv,1,0.161728145,2.935080464,3.096808609,6.183215668
Japanese,20250515,conv,1,0.096213071,3.096808609,3.19302168,10.39359817
Japanese,20250515,conv,1,0.09423609,3.19302168,3.287257771,10.61164569
Japanese,20250515,conv,1,0.145637594,3.287257771,3.432895365,6.866358973
Japanese,20250515,conv,1,0.459518019,3.432895365,3.892413383,2.176193227
Japanese,20250515,conv,1,0.857206211,4.683564764,4.683564764,1.166580441
Japanese,20250515,conv,1,0.124274887,6.025060853,6.14933574,8.046677999
Japanese,20250515,conv,1,0.096213071,6.14933574,6.245548812,10.39359817
Japanese,20250515,conv,1,0.076443262,6.245548812,6.321992074,13.0815977
Japanese,20250515,conv,1,0.117300868,6.321992074,6.439292941,8.525086141
Japanese,20250515,conv,1,0.29522915,6.439292941,6.734522091,3.387199404
Japanese,20250515,conv,1,0.075125275,6.755609887,6.830735162,13.31109941
Japanese,20250515,conv,1,0.084351186,6.830735162,6.915086347,11.85519791
Japanese,20250515,conv,1,0.133116715,6.915086347,7.048203062,7.512204619
Japanese,20250515,conv,1,0.062429453,7.048203062,7.110632515,16.01808054
Japanese,20250515,conv,1,0.142342626,7.110632515,7.252975141,7.025302468
Japanese,20250515,conv,1,0.085669173,7.252975141,7.338644314,11.67281025
Japanese,20250515,conv,1,0.146296588,7.338644314,7.484940901,6.835429428
